MSA,Tract ID,White Alone,Black or African American alone,Asian alone,Family Households,Nonfamily Households,Household income: < 10k,Household income: 10-15k,Household income: 15-20k,Household income: 20-25k,Household income: 25-30k,Household income: 30-35k,Household income: 35-40k,Household income: 40-45k,Household income: 45-50k,Household income: 50-60k,Household income: 60-75k,Household income: 75-100k,Household income: 100-125k,Household income: 125-150k,Household income: 150-200k,Household income: > 200k,With wage or salary income,No wage or salary income,With self-employment income,No self-employment income,With interest dividends or net rental income,No interest dividends or net rental income,With Social Security income,No Social Security income,With Supplemental Security Income (SSI),No Supplemental Security Income (SSI),With public assistance income,No public assistance income,With cash public assistance or Food Stamps/SNAP,No cash public assistance or Food Stamps/SNAP,With retirement income,No retirement income,Per capita income (2010 dollars),Housing units,Occupancy status: Occupied,Occupancy status: Vacant,Housing tenure: Owner-occupied,Housing tenure: Renter-occupied,Median number of rooms,Median gross rent (dollars),Median value for owner-occupied housing
San Francisco-Oakland-Hayward,6001428400,2281,289,1214,870,886,40,66,132,79,46,118,40,141,76,211,196,233,110,108,79,81,1318,438,347,1409,536,1220,333,1423,126,1630,47,1709,81,1675,301,1455,31293,1996,1756,1756,614,1142,4.2,1161,614400
San Francisco-Oakland-Hayward,6001408200,810,2170,206,951,698,87,159,54,77,65,56,81,121,59,93,158,255,231,78,55,20,1214,435,263,1386,250,1399,282,1367,121,1528,58,1591,137,1512,315,1334,28012,1971,1649,1649,896,753,4.6,1027,445900
San Francisco-Oakland-Hayward,6001450200,3051,279,809,1131,929,127,48,8,86,80,0,48,7,45,135,225,491,239,192,161,168,1943,117,191,1869,455,1605,121,1939,31,2029,12,2048,77,1983,85,1975,41653,2291,2060,2060,603,1457,4.4,1551,569500
San Francisco-Oakland-Hayward,6001421700,2523,183,756,729,834,40,79,43,31,37,34,89,87,61,129,123,229,261,103,84,133,1068,495,421,1142,808,755,373,1190,68,1495,26,1537,48,1515,341,1222,42146,1671,1563,1563,605,958,4.3,1546,734400
San Francisco-Oakland-Hayward,6001432200,1924,607,319,909,583,47,157,34,175,16,36,161,30,78,53,147,182,123,41,145,67,1043,449,164,1328,383,1109,367,1125,144,1348,60,1432,86,1406,304,1188,34073,1656,1492,1492,625,867,4.7,1086,556300
San Francisco-Oakland-Hayward,6001401500,476,1054,117,406,431,101,199,32,65,48,29,58,31,17,37,37,84,50,38,0,11,490,347,158,679,52,785,192,645,80,757,77,760,126,711,150,687,22432,1243,837,837,294,543,4.1,738,363200
San Francisco-Oakland-Hayward,6001421900,2117,355,615,880,717,37,55,42,61,19,62,11,93,30,109,64,307,202,121,137,247,1309,288,425,1172,694,903,301,1296,16,1581,9,1588,9,1588,309,1288,49439,1791,1597,1597,1064,533,4.8,1350,659000
San Francisco-Oakland-Hayward,6001406201,1793,1030,1304,1053,342,194,113,238,128,95,19,16,60,159,89,91,68,41,37,37,10,1161,234,188,1207,58,1337,132,1263,176,1219,195,1200,371,1024,99,1296,11902,1625,1395,1395,224,1171,4.1,871,418900
San Francisco-Oakland-Hayward,6001406202,1284,168,683,802,417,117,118,201,185,69,34,50,19,85,92,70,59,86,10,12,12,937,282,246,973,131,1088,189,1030,34,1185,68,1151,243,976,50,1169,13340,1410,1219,1219,181,1038,3.6,889,421200
San Francisco-Oakland-Hayward,6001404700,1517,177,251,560,264,12,18,0,0,8,10,11,22,7,11,47,113,131,154,134,146,665,159,189,635,410,414,209,615,44,780,14,810,14,810,133,691,56022,859,824,824,704,120,7.1,1799,788500
